"","ESV_study$Name"
"KO:K00010","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (iolG)"
"KO:K00012","UDPglucose 6-dehydrogenase [EC:1.1.1.22] (UGDH, ugd)"
"KO:K00013","histidinol dehydrogenase [EC:1.1.1.23] (hisD)"
"KO:K00014","shikimate dehydrogenase [EC:1.1.1.25] (aroE)"
"KO:K00018","glycerate dehydrogenase [EC:1.1.1.29] (hprA)"
"KO:K00024","malate dehydrogenase [EC:1.1.1.37] (mdh)"
"KO:K00029","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (E1.1.1.40, maeB)"
"KO:K00031","isocitrate dehydrogenase [EC:1.1.1.42] (IDH1, IDH2, icd)"
"KO:K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] (PGD, gnd, gntZ)"
"KO:K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] (G6PD, zwf)"
"KO:K00052","3-isopropylmalate dehydrogenase [EC:1.1.1.85] (leuB)"
"KO:K00053","ketol-acid reductoisomerase [EC:1.1.1.86] (ilvC)"
"KO:K00058","D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] (serA, PHGDH)"
"KO:K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (fabG)"
"KO:K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] (murB)"
"KO:K00088","IMP dehydrogenase [EC:1.1.1.205] (guaB)"
"KO:K00099","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267] (dxr)"
"KO:K00100","E1.1.1.-"
"KO:K00101","L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3] (E1.1.2.3, lldD)"
"KO:K00121","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (frmA, ADH5, adhC)"
"KO:K00123","formate dehydrogenase major subunit [EC:1.2.1.2] (fdoG, fdfH)"
"KO:K00124","formate dehydrogenase iron-sulfur subunit (fdoH)"
"KO:K00127","formate dehydrogenase subunit gamma (fdoI)"
"KO:K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] (asd)"
"KO:K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] (GAPDH, gapA)"
